Model,Rank,TOPSIS_Score,Similarity_Score
GPT-2,1,1.0,0.9964589260556714
DistilRoBERTa,2,0.9714840929071402,0.9911406219918252
RoBERTa,3,0.9604933148625341,0.9890908082037133
DistilBERT,4,0.3317403495889965,0.8718264532778645
BERT,5,0.05509868961939675,0.8202319358860648
SBERT,6,0.0,0.809955861414325
